selection_id,collection_id,download_id,source_group_id,source_split,dataset_role,source_path,file_pattern,annotation_source,sample_count,media_type,scene_type,location,viewpoint,lighting,weather,target_classes,annotation_type,notes
okutama_1_1_7,okutama_action,okutama_action_train_frames_archive,okutama_morning_07,published_train,training,data/evaluation/raw/okutama_action/train/Drone1/Morning/Extracted-Frames-1280x720/1.1.7,*.jpg,data/evaluation/raw/okutama_action/train/Labels/SingleActionTrackingLabels/3840x2160/1.1.7.txt,5,image_sequence,staged_human_activity,Okutama Japan,aerial,morning,not_recorded,person,bounding_box,Coordinates require scaling from 4K to 720p
okutama_2_1_7,okutama_action,okutama_action_train_frames_archive,okutama_morning_07,published_train,training,data/evaluation/raw/okutama_action/train/Drone2/Morning/Extracted-Frames-1280x720/2.1.7,*.jpg,data/evaluation/raw/okutama_action/train/Labels/SingleActionTrackingLabels/3840x2160/2.1.7.txt,5,image_sequence,staged_human_activity,Okutama Japan,aerial,morning,not_recorded,person,bounding_box,Paired view retained in the same source group
okutama_1_1_10,okutama_action,okutama_action_train_frames_archive,okutama_morning_10,published_train,training,data/evaluation/raw/okutama_action/train/Drone1/Morning/Extracted-Frames-1280x720/1.1.10,*.jpg,data/evaluation/raw/okutama_action/train/Labels/SingleActionTrackingLabels/3840x2160/1.1.10.txt,5,image_sequence,staged_human_activity,Okutama Japan,aerial,morning,not_recorded,person,bounding_box,Coordinates require scaling from 4K to 720p
okutama_2_1_10,okutama_action,okutama_action_train_frames_archive,okutama_morning_10,published_train,training,data/evaluation/raw/okutama_action/train/Drone2/Morning/Extracted-Frames-1280x720/2.1.10,*.jpg,data/evaluation/raw/okutama_action/train/Labels/SingleActionTrackingLabels/3840x2160/2.1.10.txt,5,image_sequence,staged_human_activity,Okutama Japan,aerial,morning,not_recorded,person,bounding_box,Paired view retained in the same source group
okutama_1_1_11,okutama_action,okutama_action_train_frames_archive,okutama_morning_11,published_train,validation,data/evaluation/raw/okutama_action/train/Drone1/Morning/Extracted-Frames-1280x720/1.1.11,*.jpg,data/evaluation/raw/okutama_action/train/Labels/SingleActionTrackingLabels/3840x2160/1.1.11.txt,5,image_sequence,staged_human_activity,Okutama Japan,aerial,morning,not_recorded,person,bounding_box,Single available drone view and validation group selected with seed 2026
okutama_1_2_2,okutama_action,okutama_action_train_frames_archive,okutama_noon_02,published_train,training,data/evaluation/raw/okutama_action/train/Drone1/Noon/Extracted-Frames-1280x720/1.2.2,*.jpg,data/evaluation/raw/okutama_action/train/Labels/SingleActionTrackingLabels/3840x2160/1.2.2.txt,5,image_sequence,staged_human_activity,Okutama Japan,aerial,noon,not_recorded,person,bounding_box,Coordinates require scaling from 4K to 720p
okutama_2_2_2,okutama_action,okutama_action_train_frames_archive,okutama_noon_02,published_train,training,data/evaluation/raw/okutama_action/train/Drone2/Noon/Extracted-Frames-1280x720/2.2.2,*.jpg,data/evaluation/raw/okutama_action/train/Labels/SingleActionTrackingLabels/3840x2160/2.2.2.txt,5,image_sequence,staged_human_activity,Okutama Japan,aerial,noon,not_recorded,person,bounding_box,Paired view retained in the same source group
okutama_1_2_4,okutama_action,okutama_action_train_frames_archive,okutama_noon_04,published_train,validation,data/evaluation/raw/okutama_action/train/Drone1/Noon/Extracted-Frames-1280x720/1.2.4,*.jpg,data/evaluation/raw/okutama_action/train/Labels/SingleActionTrackingLabels/3840x2160/1.2.4.txt,5,image_sequence,staged_human_activity,Okutama Japan,aerial,noon,not_recorded,person,bounding_box,Validation group selected with seed 2026
okutama_2_2_4,okutama_action,okutama_action_train_frames_archive,okutama_noon_04,published_train,validation,data/evaluation/raw/okutama_action/train/Drone2/Noon/Extracted-Frames-1280x720/2.2.4,*.jpg,data/evaluation/raw/okutama_action/train/Labels/SingleActionTrackingLabels/3840x2160/2.2.4.txt,5,image_sequence,staged_human_activity,Okutama Japan,aerial,noon,not_recorded,person,bounding_box,Paired view retained in the same source group
okutama_1_2_5,okutama_action,okutama_action_train_frames_archive,okutama_noon_05,published_train,training,data/evaluation/raw/okutama_action/train/Drone1/Noon/Extracted-Frames-1280x720/1.2.5,*.jpg,data/evaluation/raw/okutama_action/train/Labels/SingleActionTrackingLabels/3840x2160/1.2.5.txt,5,image_sequence,staged_human_activity,Okutama Japan,aerial,noon,not_recorded,person,bounding_box,Coordinates require scaling from 4K to 720p
okutama_2_2_5,okutama_action,okutama_action_train_frames_archive,okutama_noon_05,published_train,training,data/evaluation/raw/okutama_action/train/Drone2/Noon/Extracted-Frames-1280x720/2.2.5,*.jpg,data/evaluation/raw/okutama_action/train/Labels/SingleActionTrackingLabels/3840x2160/2.2.5.txt,5,image_sequence,staged_human_activity,Okutama Japan,aerial,noon,not_recorded,person,bounding_box,Paired view retained in the same source group
okutama_1_2_6,okutama_action,okutama_action_train_frames_archive,okutama_noon_06,published_train,training,data/evaluation/raw/okutama_action/train/Drone1/Noon/Extracted-Frames-1280x720/1.2.6,*.jpg,data/evaluation/raw/okutama_action/train/Labels/SingleActionTrackingLabels/3840x2160/1.2.6.txt,5,image_sequence,staged_human_activity,Okutama Japan,aerial,noon,not_recorded,person,bounding_box,Coordinates require scaling from 4K to 720p
okutama_2_2_6,okutama_action,okutama_action_train_frames_archive,okutama_noon_06,published_train,training,data/evaluation/raw/okutama_action/train/Drone2/Noon/Extracted-Frames-1280x720/2.2.6,*.jpg,data/evaluation/raw/okutama_action/train/Labels/SingleActionTrackingLabels/3840x2160/2.2.6.txt,5,image_sequence,staged_human_activity,Okutama Japan,aerial,noon,not_recorded,person,bounding_box,Paired view retained in the same source group
okutama_1_2_7,okutama_action,okutama_action_train_frames_archive,okutama_noon_07,published_train,training,data/evaluation/raw/okutama_action/train/Drone1/Noon/Extracted-Frames-1280x720/1.2.7,*.jpg,data/evaluation/raw/okutama_action/train/Labels/SingleActionTrackingLabels/3840x2160/1.2.7.txt,5,image_sequence,staged_human_activity,Okutama Japan,aerial,noon,not_recorded,person,bounding_box,Coordinates require scaling from 4K to 720p
okutama_2_2_7,okutama_action,okutama_action_train_frames_archive,okutama_noon_07,published_train,training,data/evaluation/raw/okutama_action/train/Drone2/Noon/Extracted-Frames-1280x720/2.2.7,*.jpg,data/evaluation/raw/okutama_action/train/Labels/SingleActionTrackingLabels/3840x2160/2.2.7.txt,5,image_sequence,staged_human_activity,Okutama Japan,aerial,noon,not_recorded,person,bounding_box,Paired view retained in the same source group
okutama_1_2_8,okutama_action,okutama_action_train_frames_archive,okutama_noon_08,published_train,validation,data/evaluation/raw/okutama_action/train/Drone1/Noon/Extracted-Frames-1280x720/1.2.8,*.jpg,data/evaluation/raw/okutama_action/train/Labels/SingleActionTrackingLabels/3840x2160/1.2.8.txt,5,image_sequence,staged_human_activity,Okutama Japan,aerial,noon,not_recorded,person,bounding_box,Validation group selected with seed 2026
okutama_2_2_8,okutama_action,okutama_action_train_frames_archive,okutama_noon_08,published_train,validation,data/evaluation/raw/okutama_action/train/Drone2/Noon/Extracted-Frames-1280x720/2.2.8,*.jpg,data/evaluation/raw/okutama_action/train/Labels/SingleActionTrackingLabels/3840x2160/2.2.8.txt,5,image_sequence,staged_human_activity,Okutama Japan,aerial,noon,not_recorded,person,bounding_box,Paired view retained in the same source group
okutama_1_2_9,okutama_action,okutama_action_train_frames_archive,okutama_noon_09,published_train,training,data/evaluation/raw/okutama_action/train/Drone1/Noon/Extracted-Frames-1280x720/1.2.9,*.jpg,data/evaluation/raw/okutama_action/train/Labels/SingleActionTrackingLabels/3840x2160/1.2.9.txt,5,image_sequence,staged_human_activity,Okutama Japan,aerial,noon,not_recorded,person,bounding_box,Coordinates require scaling from 4K to 720p
okutama_2_2_9,okutama_action,okutama_action_train_frames_archive,okutama_noon_09,published_train,training,data/evaluation/raw/okutama_action/train/Drone2/Noon/Extracted-Frames-1280x720/2.2.9,*.jpg,data/evaluation/raw/okutama_action/train/Labels/SingleActionTrackingLabels/3840x2160/2.2.9.txt,5,image_sequence,staged_human_activity,Okutama Japan,aerial,noon,not_recorded,person,bounding_box,Paired view retained in the same source group
okutama_1_2_11,okutama_action,okutama_action_train_frames_archive,okutama_noon_11,published_train,training,data/evaluation/raw/okutama_action/train/Drone1/Noon/Extracted-Frames-1280x720/1.2.11,*.jpg,data/evaluation/raw/okutama_action/train/Labels/SingleActionTrackingLabels/3840x2160/1.2.11.txt,5,image_sequence,staged_human_activity,Okutama Japan,aerial,noon,not_recorded,person,bounding_box,Coordinates require scaling from 4K to 720p
okutama_2_2_11,okutama_action,okutama_action_train_frames_archive,okutama_noon_11,published_train,training,data/evaluation/raw/okutama_action/train/Drone2/Noon/Extracted-Frames-1280x720/2.2.11,*.jpg,data/evaluation/raw/okutama_action/train/Labels/SingleActionTrackingLabels/3840x2160/2.2.11.txt,5,image_sequence,staged_human_activity,Okutama Japan,aerial,noon,not_recorded,person,bounding_box,Paired view retained in the same source group
okutama_1_1_8,okutama_action,okutama_action_test_frames_archive,okutama_morning_08,published_test,held_out_test,data/evaluation/raw/okutama_action/test/Drone1/Morning/Extracted-Frames-1280x720/1.1.8,*.jpg,data/evaluation/raw/okutama_action/test/Labels/SingleActionTrackingLabels/3840x2160/1.1.8.txt,5,image_sequence,staged_human_activity,Okutama Japan,aerial,morning,not_recorded,person,bounding_box,Published test source group
okutama_2_1_8,okutama_action,okutama_action_test_frames_archive,okutama_morning_08,published_test,held_out_test,data/evaluation/raw/okutama_action/test/Drone2/Morning/Extracted-Frames-1280x720/2.1.8,*.jpg,data/evaluation/raw/okutama_action/test/Labels/SingleActionTrackingLabels/3840x2160/2.1.8.txt,5,image_sequence,staged_human_activity,Okutama Japan,aerial,morning,not_recorded,person,bounding_box,Paired view retained in the same source group
okutama_1_1_9,okutama_action,okutama_action_test_frames_archive,okutama_morning_09,published_test,held_out_test,data/evaluation/raw/okutama_action/test/Drone1/Morning/Extracted-Frames-1280x720/1.1.9,*.jpg,data/evaluation/raw/okutama_action/test/Labels/SingleActionTrackingLabels/3840x2160/1.1.9.txt,5,image_sequence,staged_human_activity,Okutama Japan,aerial,morning,not_recorded,person,bounding_box,Published test source group
okutama_2_1_9,okutama_action,okutama_action_test_frames_archive,okutama_morning_09,published_test,held_out_test,data/evaluation/raw/okutama_action/test/Drone2/Morning/Extracted-Frames-1280x720/2.1.9,*.jpg,data/evaluation/raw/okutama_action/test/Labels/SingleActionTrackingLabels/3840x2160/2.1.9.txt,5,image_sequence,staged_human_activity,Okutama Japan,aerial,morning,not_recorded,person,bounding_box,Paired view retained in the same source group
okutama_1_2_1,okutama_action,okutama_action_test_frames_archive,okutama_noon_01,published_test,held_out_test,data/evaluation/raw/okutama_action/test/Drone1/Noon/Extracted-Frames-1280x720/1.2.1,*.jpg,data/evaluation/raw/okutama_action/test/Labels/SingleActionTrackingLabels/3840x2160/1.2.1.txt,5,image_sequence,staged_human_activity,Okutama Japan,aerial,noon,not_recorded,person,bounding_box,Published test source group
okutama_2_2_1,okutama_action,okutama_action_test_frames_archive,okutama_noon_01,published_test,held_out_test,data/evaluation/raw/okutama_action/test/Drone2/Noon/Extracted-Frames-1280x720/2.2.1,*.jpg,data/evaluation/raw/okutama_action/test/Labels/SingleActionTrackingLabels/3840x2160/2.2.1.txt,5,image_sequence,staged_human_activity,Okutama Japan,aerial,noon,not_recorded,person,bounding_box,Paired view retained in the same source group
okutama_1_2_3,okutama_action,okutama_action_test_frames_archive,okutama_noon_03,published_test,held_out_test,data/evaluation/raw/okutama_action/test/Drone1/Noon/Extracted-Frames-1280x720/1.2.3,*.jpg,data/evaluation/raw/okutama_action/test/Labels/SingleActionTrackingLabels/3840x2160/1.2.3.txt,5,image_sequence,staged_human_activity,Okutama Japan,aerial,noon,not_recorded,person,bounding_box,Published test source group
okutama_2_2_3,okutama_action,okutama_action_test_frames_archive,okutama_noon_03,published_test,held_out_test,data/evaluation/raw/okutama_action/test/Drone2/Noon/Extracted-Frames-1280x720/2.2.3,*.jpg,data/evaluation/raw/okutama_action/test/Labels/SingleActionTrackingLabels/3840x2160/2.2.3.txt,5,image_sequence,staged_human_activity,Okutama Japan,aerial,noon,not_recorded,person,bounding_box,Paired view retained in the same source group
okutama_1_2_10,okutama_action,okutama_action_test_frames_archive,okutama_noon_10,published_test,held_out_test,data/evaluation/raw/okutama_action/test/Drone1/Noon/Extracted-Frames-1280x720/1.2.10,*.jpg,data/evaluation/raw/okutama_action/test/Labels/SingleActionTrackingLabels/3840x2160/1.2.10.txt,5,image_sequence,staged_human_activity,Okutama Japan,aerial,noon,not_recorded,person,bounding_box,Published test source group
okutama_2_2_10,okutama_action,okutama_action_test_frames_archive,okutama_noon_10,published_test,held_out_test,data/evaluation/raw/okutama_action/test/Drone2/Noon/Extracted-Frames-1280x720/2.2.10,*.jpg,data/evaluation/raw/okutama_action/test/Labels/SingleActionTrackingLabels/3840x2160/2.2.10.txt,5,image_sequence,staged_human_activity,Okutama Japan,aerial,noon,not_recorded,person,bounding_box,Paired view retained in the same source group
dlr_train,dlr_acd,dlr_acd_archive,dlr_published_train,published_train,validation,data/evaluation/raw/dlr_acd/DLR_AerialCrowdDataset/Train/Images,*.jpg,data/evaluation/raw/dlr_acd/DLR_AerialCrowdDataset/Train/Annotation,19,image_collection,dense_crowd,not_recorded,aerial_nadir,daylight,not_recorded,person,point_count,Complete published train partition used for count development
dlr_test,dlr_acd,dlr_acd_archive,dlr_published_test,published_test,held_out_test,data/evaluation/raw/dlr_acd/DLR_AerialCrowdDataset/Test/Images,*.jpg,data/evaluation/raw/dlr_acd/DLR_AerialCrowdDataset/Test/Annotation,14,image_collection,dense_crowd,not_recorded,aerial_nadir,daylight,not_recorded,person,point_count,Complete published test partition kept held out
wikimedia_renai_day,wikimedia,wikimedia_renai_day_image,wikimedia_renai_roundabout,independent,validation,data/evaluation/raw/wikimedia/Renai_Dunhua_traffic_circle_202006.jpg,,manual,1,still_image,roundabout,Taipei Taiwan,aerial_oblique,daylight,clear,bicycle;motorcycle;car_or_van;bus;truck,bounding_box,Manual labels required
wikimedia_renai_night,wikimedia,wikimedia_renai_night_image,wikimedia_renai_roundabout,independent,validation,data/evaluation/raw/wikimedia/Renai_Roundabout_at_night_from_the_air.jpg,,manual,1,still_image,roundabout,Taipei Taiwan,aerial_oblique,night,clear,bicycle;motorcycle;car_or_van;bus;truck,bounding_box,Day and night views share one source group
wikimedia_jane_byrne,wikimedia,wikimedia_jane_byrne_video,wikimedia_jane_byrne_video,independent,held_out_test,data/evaluation/raw/wikimedia/Jane_M._Byrne_Interchange_Traffic.webm,,manual,10,video,highway_interchange,Chicago USA,aerial_oblique,daylight,clear,bicycle;motorcycle;car_or_van;bus;truck,bounding_box,Uniformly sampled frames require manual labels
